Strike ID,Country,President,Most Specific Location,Latitude,Longitude,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,timestamp
AFG487,Afghanistan,Trump,"Ghazni, Ghazni",33.545058000000004,68.417397,220,220,0,0,0,0,0,2018-08-13
AFG107,Afghanistan,Obama,"Shurabak, Kandahar",30.45,65.816666,100,200,0,0,0,0,50,2015-10-11
SOM031,Somalia,Obama,"Raso Camp, Hiraaan",5.152149,46.199615,150,200,0,0,0,0,0,2016-03-05
AFG255,Afghanistan,Obama,"Jani Khil, Paktia",33.633852000000005,69.835915,8,120,0,0,0,0,0,2016-08-29
AFG333,Afghanistan,Trump,"Achin, Nangarhar",34.08218,70.667034,36,100,0,0,0,0,0,2017-04-13
SOM075,Somalia,Trump,Bay region,2.482519,43.483738,100,100,0,0,0,0,0,2017-11-21
B6,Pakistan,Bush,"Chenegai, Bajaur Agency",34.786528000000004,71.52491500000001,81,83,80,82,68,70,3,2006-10-30
Ob21,Pakistan,Obama,"Makeen, South Waziristan",32.626574,69.841871,60,83,18,50,10,10,27,2009-06-23
AFG412,Afghanistan,Trump,"Chardara, Kunduz",36.694511,68.801574,10,80,10,55,0,0,0,2017-11-04
YEM218,Yemen,Obama,"Hajr, Hadramout",16.930413,49.365314,50,71,0,0,0,0,28,2016-03-22
AFG275,Afghanistan,Obama,"Farah and Bakwah, Farah",32.230824,62.920591,70,70,0,0,0,0,30,2016-10-17
AFG315,Afghanistan,Trump,"Sangin, Helmand",32.071099,64.852586,0,68,0,26,0,19,0,2017-02-10
AFG079,Afghanistan,Obama,"Sherzad, Haska Mina and Deh Bala, Nangarhar and Paktika",34.09263,70.469224,56,66,0,0,0,0,0,2015-08-04
SOM022,Somalia,Obama,"Dugule, Lower Shabelle",1.8766450000000001,44.247901,40,60,0,0,0,0,0,2015-01-31
SOM109,Somalia,Trump,"Haradere, Galmudug",4.655952,47.856315,60,60,0,0,0,0,0,2018-10-12
AFG284,Afghanistan,Obama,"Boz village, Kunduz city, Kunduz",36.728590000000004,68.868066,58,59,32,33,20,20,53,2016-11-03
YEM002,Yemen,Obama,"Al Majala, Abyan",13.974467,46.454927000000005,55,58,44,44,21,22,9,2009-12-17
AFG385,Afghanistan,Trump,"Achin, Nangarhar",34.081809899999996,70.6651371,45,54,0,0,0,0,0,2017-08-16
AFG068,Afghanistan,Obama,"Tangi, Dih Bala, Nangarhar",34.09263,70.469224,25,52,0,0,0,0,0,2015-07-08
AFG123,Afghanistan,Obama,"Babrak Thana, Khost",33.333847,69.937167,21,50,0,0,0,0,0,2015-11-18
AFG343,Afghanistan,Trump,Paktia,33.706199,69.383107,0,50,0,0,0,0,0,2017-05-08
AFG377,Afghanistan,Trump,"Piri, Musa Khil, Khost",33.53991,69.788262,50,50,0,0,0,0,3,2017-08-04
AFG437,Afghanistan,Trump,"Nika, Paktika",33.200382,69.311592,50,50,0,0,0,0,0,2018-01-20
AFG466,Afghanistan,Trump,"Musa Qala, Helmand",32.311871999999994,64.811083,50,50,0,0,0,0,0,2018-05-24
YEM017,Yemen,Obama,"Wadeea district, Mudiya, Abyan",13.932401,46.080169,6,50,30,30,0,0,0,2011-07-14
YEM281,Yemen,Trump,Bayda,13.988914000000001,45.5771,50,50,0,0,0,0,0,2017-10-16
AFG064,Afghanistan,Obama,"Achin, Nangarhar",34.08218,70.667034,11,49,0,0,0,0,0,2015-07-07
AFG419,Afghanistan,Trump,Helmand,31.363646999999997,63.958611,0,44,0,0,0,0,0,2017-11-21
AFG105,Afghanistan,Obama,"Kunduz city, Kunduz city, Kunduz",36.728590000000004,68.868066,42,42,42,42,3,3,27,2015-10-03
AFG360,Afghanistan,Trump,"Ainak, Loykahal, Zhawar Sahib, Nawar, Helmand",31.363646999999997,63.958611,1,42,0,0,0,0,0,2017-07-02
AFG387,Afghanistan,Trump,"Shah Walikot, Kandahar",32.074077,66.141526,42,42,0,0,0,0,17,2017-08-24
Ob202,Pakistan,Obama,"Datta Khel, North Waziristan",33.150048999999996,70.433361,26,42,19,41,0,1,9,2011-03-17
YEM071,Yemen,Obama,"Jaar, Abyan",13.216737,45.306426,14,42,14,26,0,0,20,2012-05-15
AFG032,Afghanistan,Obama,"Various: Chahardahi in Bati Kot, Bandar Darah in Dur Baba, Murdai in Achin, Various: Nazyan, Bati Kot, Bandar Darah, Dur Baba, Achin, Nangarhar",34.263148,70.788209,5,41,0,0,0,0,0,2015-05-15
AFG085,Afghanistan,Obama,"Musa Qala, Helmand",32.311871999999994,64.811083,40,40,0,0,0,0,0,2015-08-23
Ob17,Pakistan,Obama,"Khesoor, North Waziristan",32.943065000000004,69.955033,25,40,9,9,0,0,2,2009-05-16
Ob26,Pakistan,Obama,"Ladha, South Waziristan",32.64578,70.121765,35,40,0,0,0,0,1,2009-07-08
YEM260,Yemen,Trump,"Yakla, Bayda",13.988914000000001,45.5771,39,39,25,25,10,10,7,2017-01-28
AFG188,Afghanistan,Obama,"Chaparhar and Haska Mina, Nangarhar",34.09263,70.469224,38,38,0,0,0,0,0,2016-04-30
AFG369,Afghanistan,Trump,"Nawa, Nawa district, Helmand",31.47771,64.28982099999999,0,38,0,0,0,0,0,2017-07-15
AFG063,Afghanistan,Obama,"Achin, Nangarhar",34.08218,70.667034,13,37,0,0,0,0,0,2015-07-06
AFG449,Afghanistan,Trump,"Darzab and Qishtepaäó†, Jawzjan",36.896969,65.665856,35,37,0,0,0,0,12,2018-03-16
AFG481,Afghanistan,Trump,"Zurmat, Paktia",33.435888,69.031453,0,37,0,11,0,3,0,2018-07-12
AFG337,Afghanistan,Trump,Nangarhar,34.171831,70.621679,36,36,0,0,0,0,0,2017-04-26
SOM009,Somalia,Obama,Dhobley,5.152149,46.199615,1,36,0,0,0,0,0,2011-04-03
AFG464,Afghanistan,Trump,"Surgol, Zazi Aryub, Paktia",33.966153999999996,69.80613199999999,35,35,0,0,0,0,0,2018-05-09
Ob3,Pakistan,Obama,"Narsi Khel, South Waziristan",32.320237,69.85974,25,35,1,9,1,1,11,2009-02-14
B9,Pakistan,Bush,"Mami Rogha, North Waziristan",32.830486,69.853412,20,34,0,34,0,0,10,2007-06-19
YEM004,Yemen,Obama,"Rafd, Shabwa",14.754629999999999,46.516261,30,34,0,0,0,0,0,2009-12-24
YEM039,Yemen,Obama,Bayda,13.988914000000001,45.5771,23,34,2,2,0,0,0,2012-03-09
AFG374,Afghanistan,Trump,"Meyaje Baba, Haska Mena, Nangarhar",34.171831,70.621679,0,33,0,8,0,2,0,2017-07-23
AFG254,Afghanistan,Obama,"Nad Ali, Helmand",31.664216999999997,64.266149,24,32,0,8,0,0,0,2016-08-25
Ob104,Pakistan,Obama,"Shaktoi, North Waziristan",32.943065000000004,69.955033,14,32,0,0,0,0,7,2010-07-25
Ob174,Pakistan,Obama,"Speen Drang, Khyber Agency",33.940546999999995,71.049776,32,32,2,2,0,0,0,2010-12-17
AFG069,Afghanistan,Obama,"Achin, Nangarhar",34.08218,70.667034,30,31,0,0,0,0,0,2015-07-10
AFG091,Afghanistan,Obama,"Garamser, Helmand",31.132510999999997,64.212898,11,31,0,0,0,0,4,2015-09-06
Ob4,Pakistan,Obama,"Sur Pul, Kurram Agency",33.695975,70.336069,18,31,0,0,0,0,3,2009-02-16
SOM003,Somalia,Bush,Hayo,5.152149,46.199615,4,31,4,31,0,1,0,2007-01-09
YEM160,Yemen,Obama,"Mahfed, Abyan",14.061619,46.914966,24,31,1,1,1,1,1,2014-04-20
AFG045,Afghanistan,Obama,"Maroufkhil, Khushamand, Paktika",32.264538,68.524714,30,30,0,0,0,0,0,2015-06-11
AFG219,Afghanistan,Obama,"Kot, Nangarhar",34.263148,70.788209,30,30,0,0,0,0,0,2016-06-26
AFG236,Afghanistan,Obama,"Reg Shahidan, Maiwand, Helmand",31.363646999999997,63.958611,30,30,0,0,0,0,2,2016-07-15
AFG494,Afghanistan,Trump,"Nawah, Ghazni",32.402668,67.856978,30,30,0,0,0,0,0,2018-09-10
AFG502,Afghanistan,Trump,Farah,32.446463,62.145413,30,30,0,0,0,0,0,2018-10-05
Ob42,Pakistan,Obama,"Damadola, Bajaur Agency",34.786528000000004,71.52491500000001,20,30,0,0,0,0,8,2009-10-24
YEM021,Yemen,Obama,"Zinjibar, Abyan",13.135021,45.388639000000005,30,30,0,0,0,0,40,2011-08-24
YEM024,Yemen,Obama,Abyan,13.634341000000001,46.056321000000004,30,30,0,0,0,0,0,2011-08-31
YEM045,Yemen,Obama,"Zinjibar, Abyan",13.135021,45.388639000000005,29,30,0,0,0,0,24,2012-03-22
YEM091,Yemen,Obama,"Al Yafea, Bayda",13.988914000000001,45.5771,5,30,0,0,0,0,6,2012-06-20
AFG119,Afghanistan,Obama,"Achin, Nangarhar",34.08218,70.667034,0,29,0,0,0,0,0,2015-11-04
AFG159,Afghanistan,Obama,"Momand, Achin, Nangarhar",34.215777,71.026004,21,29,0,0,0,0,0,2016-02-01
AFG072,Afghanistan,Obama,"Haska Mina, Nangarhar",34.09263,70.469224,28,28,0,0,0,0,0,2015-07-14
AFG465,Afghanistan,Trump,"Farah city, Farah, Farah",32.446463,62.145413,28,28,0,0,0,0,0,2018-05-15
AFG213,Afghanistan,Obama,"Dara e Mohmand, Mazdaki, Abdulkhail, Achin, Nangarhar",34.08218,70.667034,23,27,0,0,0,0,0,2016-06-18
AFG488,Afghanistan,Trump,"Chah Anjir and Triz Nawar, Nad Ali, Helmand",31.664216999999997,64.266149,27,27,0,0,0,0,7,2018-08-16
SOM098,Somalia,Trump,Bosasso,11.27554,49.187899,27,27,0,0,0,0,0,2018-06-02
SOM112,Somalia,Trump,Vicinity of Debatscile,5.152149,46.199615,27,27,0,0,0,0,0,2018-11-19
AFG233,Afghanistan,Obama,"Kharawa, Landai and Kochiano-ghnodai, Achin, Nangarhar",34.08218,70.667034,26,26,0,0,0,0,0,2016-07-13
AFG439,Afghanistan,Trump,"Attal, Andar, Ghazni",33.263079,68.572411,26,26,0,0,0,0,20,2018-01-30
Ob204,Pakistan,Obama,"Spinwan, North Waziristan",33.178889,70.39409599999999,20,26,5,9,3,5,5,2011-04-22
